code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0008346874552	Keto Meal Bar	1893	16.6667	33.3333	35.7143	7.1429	452.381	19.0476	0.654762	0.2619048			
0008346874583	Chocolate chip cookie dough	1893	16.666666666667	33.333333333333	35.714285714286	7.1428571428571	452.38095238095	16.666666666667	0.53571428571427	0.214285714285708	21.428571428571		
0008346874590	Fat Bomb Meal Replacement	1893	16.666666666667	33.333333333333	35.714285714286	7.1428571428571	452.38095238095	16.666666666667	0.53571428571427	0.214285714285708	21.428571428571	0	
0008346874637	Slim fast	1893	16.6667	33.3333	35.7143	7.1429	452.381	16.6667	0.71428575	0.2857143	21.4	0	14
0008346874668	Keto Nutty Caramel and Nougat Bar	1569	18.75	25	43.75	4.1666666666667	375	9.375	0.78125	0.3125			
0008346874675	Nutty caramel and nougat bars	1569	18.75	25	43.75	10.416666666667	375	9.375	0.78125	0.3125	27.083333333333		
0008346874705	Fat Bomb	2243	14.893617021277	34.042553191489	42.553191489362	12.765957446809	536.17021276596	12.765957446809	0.53191489361702	0.212765957446808	23.404255319149		
0008346874712	Fat Bomb Meal Replacement Bar	1780	14.893617021277	34.042553191489	42.553191489362	12.765957446809	425.53191489362	12.765957446809	0.53191489361702	0.212765957446808	23.404255319149		
0008346874743	Keto Fat Bombs	1762	15.789473684211	31.578947368421	42.105263157895	10.526315789474	421.05263157895	15.789473684211	0.32894736842105	0.13157894736842	21.052631578947		
0008346874750	Fat Bomb	1762	15.789473684211	31.578947368421	42.105263157895	10.526315789474	421.05263157895	15.789473684211	0.32894736842105	0.13157894736842			
0008346874804	Fat bomb	2215	11.7647	47.0588	41.1765	5.8824	529.4118	29.4118	0.20588225	0.0823529	17.6	0	12
0008346874828	Peanut butter cup optimal low-carb ketogenic nutrition fat bomb snack	2213	11.76	47.06	41.18	5.88	529	29.41	0.22	0.088	17.6	0	12
0008346874835	Slimfast Keto fat bomb	2213	11.76	47.06	41.18	5.88	529	29.41			17.6	0	
0008346874859	Keto fat bomb carmel cup	2215	5.8823529411765	47.058823529412	41.176470588235	0	529.41176470588	35.294117647059	0.51470588235295	0.20588235294118			
0008346874866	Slimfast keto caramel cup optimal low carb ketogenic	2215	5.8800003107856	47.060001597685	41.180001988131	0	529.41176470588	35.290000017952	0.52290002212805	0.20916000885122	17.6	0	13
